0.97681 0.10723 0.64385 0.29556	1
0.67194 0.2418 0.83075 0.42741	1
0.20619 0.23321 0.81004 0.98691	1
0.51583 0.055814 0.92274 0.75797	1
0.70893 0.10836 0.33951 0.77058	1
0.55743 0.67804 0.061044 0.72689	1
0.15654 0.75584 0.01122 0.42598	-1
0.50462 0.15137 0.33878 0.41881	1
0.22657 0.59272 0.24103 0.46221	-1
0.49174 0.65115 0.24622 0.24796	-1
0.59512 0.26994 0.74692 0.32784	1
0.32439 0.37294 0.11623 0.94499	1
0.4475 0.60183 0.41323 0.58492	1
0.41171 0.098584 0.4795 0.083842	-1
0.10059 0.37353 0.0057687 0.14313	-1
0.8182 0.70052 0.67561 0.22231	1
0.3221 0.95754 0.99328 0.50757	1
0.41469 0.48406 0.39832 0.53216	1
0.48364 0.36163 0.14351 0.3153	-1
0.5323 0.21312 0.40401 0.98252	1
